"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.0590841949778434,0.0798435067268154,0.224966093540314,0.260839480427971,1.25770925789139,199,"INHBA;FJX1;RIPK2;CCND1;PHLDA1;MYC;CXCL3;TNFSF9;CD44;IL23A;OLR1;CXCL1;DUSP4;FOSL1;VEGFA;PLAU;TGIF1;LIF;CEBPB;IL1A;CXCL2;CSF2;BHLHE40;PMEPA1;DUSP2;SERPINB2;PHLDA2;SERPINE1;SPHK1;CXCL11;CXCL6;AREG"
"HALLMARK_PANCREAS_BETA_CELLS",0.0642857142857143,0.0845864661654135,0.276500599254472,-0.367863456466226,-1.38259746980525,38,"SCGN;VDR;SST;CHGA;LMO2;PCSK2;ABCC8;PAK3;SRP14;GCG;FOXO1;GCK;NEUROD1;AKT3;NKX2-2"
"HALLMARK_TGF_BETA_SIGNALING",0.0889929742388759,0.114093556716508,0.231126709673834,-0.3198476806751,-1.30453394373217,54,"SLC20A1;BCAR3;BMP2;PPM1A;SMAD7;SMAD1;KLF10;ID2;APC;CDH1;WWTR1;IFNGR2;UBE2D3;BMPR1A;ID3;SMAD3"
"HALLMARK_INFLAMMATORY_RESPONSE",0.0923076923076923,0.115384615384615,0.261663521711573,-0.229836485191126,-1.19009272803003,199,"SLC4A4;TLR3;P2RX4;SRI;TNFSF10;PSEN1;LPAR1;PTGER4;MXD1;VIP;BDKRB1;MEP1A;FZD5;IL4R;STAB1;ATP2B1;RAF1;CD48;SELENOS;KCNA3;SLC31A2;CDKN1A;CMKLR1;SCN1B;CSF1;EBI3;IL10RA;SLAMF1;KLF6;ITGB3;P2RY2;BEST1;AXL;NFKBIA;CCL5;IL18;GP1BA;CCRL2;NMUR1;PCDH7;CD14;ACVR1B;CCR7;ACVR2A;HRH1;KIF1B;TACR1;EMP3;IFNGR2;IL10;PIK3R5;NFKB1;KCNMB2;RHOG;SLC28A2;IL1R1;IFNAR1;IL2RB;GPR183;ICAM4;CD69;BTG2;ADGRE1;IL18R1;ADORA2B;SELL;ITGA5;P2RX7;LTA;KCNJ2;PTGER2"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.135391923990499,0.165112102427438,0.186432558434075,-0.324338903130155,-1.27256542571597,48,"PRDX6;GPX3;CAT;MSRA;LSP1;SELENOS;PDLIM1;NDUFS2;PRNP;MBP;HHEX;FES;IPCEF1;MGST1;NDUFA6"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.154269972451791,0.183654729109275,0.188204146308491,-0.257236658051491,-1.17785696950462,103,"CAB39;RIPK1;TNFRSF1A;PRKCB;RPS6KA1;ADCY2;RALB;MAPK10;RAF1;MKNK2;GRB2;NCK1;DUSP3;MAP2K6;CDKN1A;EGFR;MYD88;CAMK4;MKNK1;CFL1;MAPK1;UBE2D3;PRKAA2;TIAM1;NGF;PTEN;CLTC;SFN;FASLG;ACTR2;PRKAR2A;GNA14;PITX2;ECSIT;AP2M1;IL2RG;MAPK9;PAK4"
"HALLMARK_PROTEIN_SECRETION",0.170798898071625,0.198603369850727,0.178219874951973,-0.264226170907732,-1.19357714652347,96,"STX12;VPS4B;SSPN;SNX2;RAB9A;GBF1;EGFR;RAB14;SNAP23;ATP1A1;MAPK1;CD63;KIF1B;RER1;TSPAN8;NAPA;SH3GL2;AP1G1;DST;VPS45;ARFIP1;CLTC;SEC31A;TPD52;VAMP3;ABCA1;CLCN3;MON2;AP2M1;AP3B1;COG2;CTSC;ADAM10;STX7;ARCN1;CLN5;CAV2;TSG101;GALC;TMX1;GOLGA4;NAPG;OCRL;VAMP4;RAB5A"
"HALLMARK_APICAL_SURFACE",0.199052132701422,0.226195605342525,0.151148761385484,-0.302498566808747,-1.17662471686003,44,"MAL;ATP8B1;SLC2A4;SRPX;SCUBE1;CD160;B4GALT1;CRYBG1;AKAP7;ADIPOR2;NTNG1;MDGA1;EFNA5;IL2RB"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.29016393442623,0.3224043715847,0.0985499803531691,0.265455473936496,1.10209880375293,74,"TRIB3;TNFRSF12A;S100A11;SCD;TMEM97;SQLE;DHCR7;HSD17B7;FASN;NSDHL"
"HALLMARK_UV_RESPONSE_UP",0.30635838150289,0.332998240764011,0.132846300606183,-0.21134868470617,-1.04977637379381,156,"CA2;CDKN2B;RAB27A;SULT1A1;HMOX1;MAOA;TST;BMP2;GPX3;BCL2L11;CLCN2;BSG;NAT1;PRKCD;ACAA1;PDLIM3;MARK2;BTG1;SLC25A4;PRKACA;HTR7;OLFM1;ALAS1;ABCB1;IL6ST;EPHX1;BAK1;TMBIM6;HSPA2;NFKBIA;CDO1;CASP3;MGAT1;NTRK3;SLC6A8;PLCL1;CLTB"
"HALLMARK_P53_PATHWAY",0.395280235988201,0.42051088934915,0.0755015292281669,0.212969107179522,1.02769317606711,200,"TRIB3;PVT1;KLK8;GLS2;KRT17;AEN;SLC7A11;RGS16;TNFSF9;RHBDF2;SERPINB5;LIF;JAG2;PERP;IL1A;CDKN2A;H2AC25;SLC3A2;DDIT4;PCNA;IRAK1;WRAP73;SPHK1;POM121;SLC19A2;TM4SF1;NOL8;INHBB;IER3;PLK3;HSPA4L;F2R;PROCR;TPD52L1;ELP1;ADA;DDIT3;RPL18;PITPNC1;GPX2;DRAM1;MAPKAPK3;RAD51C;RPL36;TRIAP1;LDHB;FDXR;RACK1;RPS12;BAIAP2"
"HALLMARK_NOTCH_SIGNALING",0.490367775831874,0.510799766491535,0.0732558655828455,0.282802283253111,0.97861892028365,32,"WNT2;CCND1;KAT2A"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.554945054945055,0.566270464229648,0.0908241419007155,-0.211261219665255,-0.957979322602704,97,"TMEM140;TXNIP;TDRD7;IL4R;B2M;DDX60;IRF2;TRIM14;OASL;CSF1;TRIM25;RSAD2;SAMD9;TRAFD1;TENT5A;CCRL2;UBA7;GBP2;ISG20;PARP12;SELL;IFIT2;OAS1;IFI35;C1S;CMPK2;HLA-C;SP110;IL15;TRIM21;SAMD9L"
"HALLMARK_HEDGEHOG_SIGNALING",0.725589225589226,0.725589225589226,0.0524827622635459,0.233551196272903,0.835960105008774,36,"CELSR1;SHH;VEGFA;ADGRG1;THY1;ETS2"
