gene_id,symbol,entrez,log2FoldChange,padj,baseMean,lfcSE,pvalue
ENSG00000185634,SHC4,399694,-0.5362935983973949,0.08953322437368104,28.670548962995372,0.39013643522424574,0.01577223892849423
ENSG00000102575,ACP5,54,-0.5388080161091209,0.08963272973352761,34.58868358353196,0.927800631342176,0.01579463524220999
ENSG00000071889,FAM3A,60343,0.2154124084998028,0.08973066377844129,724.3350289223572,0.0962733183940484,0.01581676538826068
ENSG00000204801,NA,NA,-0.2807669311077319,0.08979738007241404,216.232396161096,0.13381640892602328,0.01583340174287963
ENSG00000229852,KHDC1-AS1,122539212,-0.38525519542717745,0.08999900539064717,62.616777043231735,0.21014005983961315,0.01587384032087005
ENSG00000089060,SLC8B1,80024,0.3814481888547425,0.09022175135960596,922.967819659634,0.2073204410792295,0.01591802716086667
ENSG00000136828,RALGPS1,9649,-0.34390558719553516,0.09030448610718232,103.95483265632348,0.17728747209051468,0.01593752809385514
ENSG00000033627,ATP6V0A1,535,0.36133160292792177,0.09034129244123586,792.8349800871182,0.19115800344225184,0.01595539272830576
ENSG00000081189,MEF2C,4208,-0.4144090451968696,0.09034129244123586,114.8202994893704,0.2382257918540656,0.01595817295665843
ENSG00000147874,HAUS6,54801,0.2235363411946869,0.09034129244123586,615.7637310418578,0.10077719574017537,0.01595874147767256
ENSG00000182329,KIAA2012,100652824,-0.3234832269372371,0.09037257296580826,5.086609908160536,0.5984544798210002,0.01596917471793321
ENSG00000181381,DDX60L,91351,0.3870307082415971,0.09062494716253908,683.8010433062518,0.21220968044438537,0.01601869144795355
ENSG00000144063,MALL,7851,-0.5812186507928613,0.09065136374222356,93.0865305014553,0.6510725277846342,0.01602828348328427
ENSG00000089723,OTUB2,78990,-0.4249246253466337,0.0908541217647435,51.114882942702465,0.24963550030454415,0.01607195796122417
ENSG00000106018,VIPR2,7434,0.27613551724602187,0.0908541217647435,4.263112556921125,0.4894760438741748,0.01607400101599426
ENSG00000186812,ZNF397,84307,-0.2695966217911942,0.0909405762335816,364.47374375328786,0.12718453458903237,0.01609423502282066
ENSG00000155189,AGPAT5,55326,0.4310242960461534,0.09116496261931054,244.85827505088403,0.2547503105100131,0.01613889645066263
ENSG00000074181,NOTCH3,4854,0.42115418453461817,0.09117942572360538,873.6653779712317,0.24506847196854015,0.01615135958242741
ENSG00000177337,NA,NA,0.3633934135459217,0.09117942572360538,90.7099321633656,0.19255750688959225,0.01614661861301706
ENSG00000110719,TCIRG1,10312,0.30717305781079135,0.09123510031100844,935.3075851642886,0.15120499393784825,0.01616617606922729
ENSG00000160050,CCDC28B,79140,-0.40818799815296064,0.09153151579200326,52.25039040571345,0.23190017892148143,0.01622696473892632
ENSG00000232480,NA,NA,-0.26380565865230166,0.09153151579200326,5.1198597421292655,0.4674509431923598,0.0162286396449031
ENSG00000125520,SLC2A4RG,56731,-0.3211776597810974,0.09162628615692987,964.2751816373292,0.1615693370482654,0.01625041816934743
