gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSG00000185950,1974.878890050489,2.122336185240985,0.21359803429997737,1.6116735836575502e-24,7.419742260763447e-22
ENSG00000157150,167.61576758741472,2.8768787282114263,0.2896366390197282,1.874119143937685e-24,8.417537569661577e-22
ENSG00000141401,627.5280674587966,2.3101059472049617,0.2353339624323922,5.2530557391211735e-24,2.303214796093248e-21
ENSG00000158246,70.3028660136772,2.289391654629334,0.23288840954105736,6.5541043402647126e-24,2.8068332889761553e-21
ENSG00000139289,1975.8534295682628,-0.9734643514172264,0.09904713649117443,7.273981708560725e-24,3.044326662798767e-21
ENSG00000166482,26348.0835801087,-0.9466382307633615,0.09656936704090313,9.469804183882199e-24,3.875254312137571e-21
ENSG00000211445,12285.700054712408,3.6747807178364864,0.380518567999455,3.015696123551283e-23,1.2072618285912364e-20
ENSG00000133142,3055.980677466061,1.5178765871138489,0.15757499630520658,3.6943486288122737e-23,1.447477234033575e-20
ENSG00000103502,3319.8658763862036,0.8083116682875362,0.08418596202964079,8.497498879100662e-23,3.242549522823064e-20
ENSG00000172986,756.360325010941,-1.537785221286212,0.16133101015997767,8.628016650465932e-23,3.242549522823064e-20
ENSG00000164484,816.7876386141993,-1.1892855943176168,0.12666789463951697,4.292943162672986e-22,1.5810909668124608e-19
ENSG00000197043,14120.99459356107,0.9020599864682632,0.09724428155023977,1.3150435531967971e-21,4.748338633748827e-19
ENSG00000131389,740.4031338532454,-2.0724470482210626,0.22495650213655416,1.6436390522023835e-21,5.820694835828249e-19
ENSG00000132356,2383.8737673028086,0.8493708144230745,0.09177339847930394,2.1614085871637624e-21,7.509875308041638e-19
ENSG00000161647,166.34141700235733,1.534657860234205,0.16728184021032866,3.1206140580771062e-21,1.064187182953517e-18
ENSG00000181061,2420.908001739079,1.1852616266277953,0.12925588747460506,3.464663406109464e-21,1.1600323022455596e-18
ENSG00000250978,56.31855663470466,6.159729156632067,0.6582970929877244,4.0693128298864724e-21,1.3381499243278462e-18
ENSG00000157514,2205.7188482374377,3.2643155211935326,0.3592693881655392,5.429186995642338e-21,1.7540083951711167e-18
ENSG00000132970,1322.814869378492,1.0795653556765221,0.11921258514580839,1.07833778772628e-20,3.423722476030939e-18
ENSG00000124766,1281.4567869999385,-2.302446248894412,0.2557802450100542,1.2235746319885076e-20,3.8190045505200625e-18
ENSG00000110756,995.2522220531972,1.555851985254425,0.17263832992065556,1.2583567099611448e-20,3.862106468989081e-18
ENSG00000221869,1963.5751470278592,1.4661574374817117,0.16299732522264,1.5326562337716327e-20,4.626863040148298e-18
ENSG00000134253,136.92021385672012,-1.9220930966186949,0.21480832224637617,1.5917842893126166e-20,4.727856078659973e-18
ENSG00000163110,1314.1834797519589,1.5515732055968932,0.17290764652357835,1.7634722292939157e-20,5.154657317848803e-18
ENSG00000157110,2970.4520576878144,0.8752490406531453,0.09856368817272747,6.46493272158105e-20,1.8512168225284404e-17
ENSG00000157613,2782.5105114282746,-0.9581618472299068,0.10808599808796936,6.534297771618171e-20,1.8512168225284404e-17
ENSG00000227051,4615.700804869064,-1.1226642798012356,0.12688416686209278,8.294544764413034e-20,2.3143036641919093e-17
ENSG00000196975,4908.817887412615,1.1672335083479688,0.13278895142404196,1.1661814234624777e-19,3.2052583452330636e-17
ENSG00000169738,627.4493989955886,2.0982286495525124,0.2400936562867017,1.2737931830370525e-19,3.4495443331804885e-17
ENSG00000112837,2754.9430306840663,-1.7589382131266234,0.20160499489097547,1.46460631710222e-19,3.908800772382229e-17
ENSG00000151726,1460.175911749855,1.566559993959902,0.17941457346608106,1.546906007814984e-19,4.0694677334161325e-17
ENSG00000157214,3009.2728752615476,1.9402592768717524,0.22326708852908134,2.084860407324622e-19,5.407423155053931e-17
ENSG00000146592,669.3948030702388,-1.9456283175243485,0.22411925279199627,2.1576044743954186e-19,5.5183731105543937e-17
ENSG00000154734,30315.113170016044,2.2348502451547776,0.25863049207537864,2.297805524108297e-19,5.79645051047319e-17
ENSG00000185432,3885.6564719550233,2.268735300108699,0.2624045977641044,2.8812566283231257e-19,7.170046055482481e-17
ENSG00000174306,3234.845527303506,1.1155170436926116,0.1289322578671362,3.874137610743438e-19,9.51229921357872e-17
ENSG00000173838,47.352931258266096,3.7877800123957877,0.4376600553353452,4.449588366468989e-19,1.0781469706385056e-16
ENSG00000177283,115.08515018160878,2.408027702469065,0.2801780108537403,5.303611589485605e-19,1.2683897067581484e-16
ENSG00000146006,46.80701210878136,-4.020332694565166,0.46061651146035965,6.184111971080997e-19,1.4600054095827764e-16
ENSG00000113456,944.8937132516949,0.8124182062443952,0.0941210793693746,6.412290288599637e-19,1.4947129830957255e-16
ENSG00000128311,316.4089843301124,1.2735415551230493,0.14896532023585649,8.176540367111403e-19,1.8821373857544561e-16
ENSG00000179593,67.24281161149676,11.015862221055306,2.95154967845287,1.098217513343055e-18,2.4967500627422667e-16
ENSG00000103485,865.1998170576816,-1.1814113491505474,0.13922261934857866,1.4715340174743647e-18,3.304670601437857e-16
ENSG00000137672,655.4488541414637,1.9086348797037846,0.22667142507309077,2.1354923612552277e-18,4.681558551489884e-16
ENSG00000246430,2162.5338158784657,2.010304732134742,0.23879996141433943,2.130567250172938e-18,4.681558551489884e-16
ENSG00000118689,5165.475479974071,1.2401968516807833,0.1480641109111612,3.849091874224578e-18,8.338944336923013e-16
ENSG00000106976,884.7374008323671,-1.7085591905510669,0.20574313581712267,5.666893107672022e-18,1.2134399602067475e-15
ENSG00000112773,516.79715620943,-1.1608815763646343,0.13927790892246653,6.035437322927415e-18,1.2775009000196361e-15
ENSG00000131871,806.8952696922789,0.6715868228853539,0.08010522320462106,6.958855847880626e-18,1.4562196640763832e-15
ENSG00000169715,554.1971923288506,2.1176367057560705,0.2564847592651064,8.282338818974317e-18,1.7136996556338433e-15
ENSG00000072958,2129.433092515564,1.0616637451109134,0.1281048030043807,9.286631509365164e-18,1.900147991610661e-15
ENSG00000150907,678.8679103033347,2.2257356759560443,0.27090932608094437,1.0791114150644318e-17,2.1837183196056605e-15
ENSG00000143320,1492.1103152540802,-1.6253924019320063,0.19813877649297726,1.3467972665306437e-17,2.6957903981697613e-15
ENSG00000128923,1415.6771007144143,1.0093325631676406,0.12352610185224784,2.5236511854903726e-17,4.9971007076134636e-15
ENSG00000067369,1878.3907324024392,-0.7404992249938702,0.09071614904229285,3.8527495052299033e-17,7.547700227532838e-15
ENSG00000100784,87.32276020149423,-2.383071375598318,0.2963304208092829,4.3463723326116837e-17,8.425099632109911e-15
ENSG00000163513,13216.632402170007,1.4155163176921712,0.1756895530730046,5.051371217721113e-17,9.689687601493156e-15
ENSG00000187193,37.38330614535826,3.0815028863149956,0.3836932965296179,7.28901758159235e-17,1.38378617283529e-14
ENSG00000162704,2581.2782738251863,0.8672564732407099,0.10744282615046227,7.525200830059289e-17,1.414046666178998e-14
ENSG00000134243,5510.956476511939,2.15588145892285,0.27144825202755674,9.082682719921362e-17,1.6894707301752716e-14
ENSG00000167549,1996.39680069426,2.2955262882383596,0.2899587039989563,1.2750926030465528e-16,2.348083028510227e-14
